BridgeFailureLikelihood,LRPName,Latitude,Longitude,NumberOfABridges,NumberOfBBridges,NumberOfCBridges,NumberOfDBridges,TotalEconomicVulnerability,TotalSocialVulnerability,TotalTraffic,TrafficEconomicVulnerability,TrafficSocialVulnerability,chainage,road
1,LRP003c,23.9521389,89.63783124,1,0,0,0,3482.5,13167.5,16650,3482.5,13167.5,3.31,N504
1,LRPSa,23.89133539,89.65488888,1,0,0,0,3482.5,13167.5,16650,3482.5,13167.5,0.228,N505
1,LRP049c,25.81287154,89.642833,1,0,0,0,7273.333333,27474.66667,34748,7273.333333,27474.66667,49.812,N506
0.985219117,LRP019b,24.37333084,89.38143452,1,0,0,0,6331.674859,13791.42561,20425,6426.666667,13998.33333,18.261,N507
0.985219117,LRP043c,24.3194438,89.16080099,1,0,0,0,6331.674859,13791.42561,20425,6426.666667,13998.33333,42.293,N507
0.985219117,LRP051b,24.29833333,89.08361111,1,0,0,0,6331.674859,13791.42561,20425,6426.666667,13998.33333,50.454,N507
1,LRP015a,25.6343514,88.63718723,1,0,0,0,3592.5,8269.5,11862,3592.5,8269.5,14.092,N508
0.999999992,LRP077c,26.24310046,89.08638431,0,0,1,0,3009.999976,15444.66654,18454.66667,3010,15444.66667,77.583,N509
0.999999992,LRP101a,26.38885101,88.94897288,0,1,0,0,3009.999976,15444.66654,18454.66667,3010,15444.66667,101.395,N509
1,LRP008a,24.88479294,89.36187567,0,1,0,0,1335,22278,23613,1335,22278,8.158,N514
1,LRP008c,24.81491506,88.9785803,1,0,0,0,7280,10747,18027,7280,10747,7.775,N516
1,LRPSd,25.71563686,89.26199323,1,0,0,0,6845,40644,47489,6845,40644,6.904,N517
1,LRPSc,25.78024011,88.91115688,1,0,0,0,2722.5,11530.5,14253,2722.5,11530.5,3.959,N518
0.985219117,LRPSa,23.9585284,89.6057013,1,0,0,0,4428.559931,21193.54104,26006.5,4495,21511.5,65.263,N6
0.985219117,LRP124a,24.3808327,88.7852774,1,0,0,0,14504.88845,33905.33069,46700.5,14722.5,34414,125.314,N6
0.985219117,LRP146b,24.36845007,88.58096945,1,0,0,0,14504.88845,41532.8971,50123.5,14722.5,42156,148.02,N6
1,LRP003b,24.41210584,89.97433293,1,0,0,0,2682.5,21561.5,24244,2682.5,21561.5,3.624,N602
0.985219117,LRPSc,24.37061441,88.72262397,1,0,0,0,13871.88517,19192.0684,33560,14080,19480,13.2,N603
0.985219117,LRP020c,24.38503743,88.55061534,1,0,0,0,13871.88517,19192.0684,33560,14080,19480,20.37,N603
