,road,LRPName,chainage,nrLanes,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
33,N1,LRP218a,215.467,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
34,N1,LRP223a,220.725,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
35,N1,LRP230a,228.029,6.0,10.199074074074074,48.375,11.370370370370368,14.569444444444445,5.625,7.981481481481481,2.2083333333333335,7.435185185185186,25.921296296296294,4.0092592592592595,0.9351851851851851,2.9537037037037037,0.0,137.69444444444443,3.888888888888889,141.58333333333334
36,N1,LRP236a,242.016,8.0,2.625,138.125,101.0,112.25,77.625,123.375,24.25,86.75,374.25,72.625,27.625,53.25,0.0,1112.875,80.875,1193.75
37,N1,LRP242b,247.637,4.0,2.625,138.125,101.0,112.25,77.625,123.375,24.25,86.75,374.25,72.625,27.625,53.25,0.0,1112.875,80.875,1193.75
38,N1,LRP245b,250.519,2.0,2.625,138.125,101.0,112.25,77.625,123.375,24.25,86.75,374.25,72.625,27.625,53.25,0.0,1112.875,80.875,1193.75
39,N1,LRP250a,254.333,2.0,2.625,138.125,101.0,112.25,77.625,123.375,24.25,86.75,374.25,72.625,27.625,53.25,0.0,1112.875,80.875,1193.75
40,N1,LRP257a,262.116,2.0,3.75,138.125,101.0,124.25,82.25,185.375,38.125,86.75,390.625,72.625,27.625,53.25,0.875,1207.625,80.875,1264.375
41,N1,LRP264c,269.199,2.0,3.0,147.625,110.25,100.25,79.875,163.375,24.5,105.0,508.75,113.75,102.375,394.5,0.0,1356.375,496.875,1853.25
42,N1,LRP269a,273.008,2.0,3.0,147.625,110.25,100.25,79.875,163.375,24.5,105.0,508.75,113.75,102.375,394.5,0.0,1356.375,496.875,1853.25
43,N1,LRP276a,280.299,2.0,3.0,147.625,154.625,118.0,79.875,163.375,24.5,105.0,813.125,113.75,102.375,394.5,0.0,1584.875,496.875,1853.25
44,N1,LRP283a,286.631,2.0,2.875,98.25,154.625,118.0,11.5,158.375,13.625,101.375,813.125,113.125,27.5,105.375,0.0,1584.875,132.875,1717.75
45,N1,LRP288a,292.426,2.0,2.875,98.25,154.625,118.0,11.5,158.375,13.625,101.375,813.125,113.125,27.5,105.375,0.0,1584.875,132.875,1717.75
46,N1,LRP292b,296.135,2.0,2.875,98.25,154.625,118.0,11.5,158.375,13.625,101.375,813.125,113.125,27.5,105.375,0.0,1584.875,132.875,1717.75
47,N1,LRP295b,299.434,2.0,5.25,295.5,154.625,126.875,98.375,253.125,43.125,126.625,813.125,113.125,80.25,105.375,0.0,1584.875,171.25,1717.75
