"PathName";"NumberVehicles";"SimulationTime";"AverageTruckWaitingTime";"AverageBusWaitingTime";"AveragePassengerVehicleWaitingTime";"TruckAverageNumberWaiting";"BusAverageNumberWaiting";"PassengerVehicleAverageNumberWaiting"
"bridge_N1_LRP456E_LRP456F";1;6.0;0.000145422535189788;0.000115715376614937;7.39336980535424e-05;0.00229584800464089;0.00222158010820376;0.0100553834412259
"N1_LRP456F_LRP457A";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535424e-05;0.0326099105046412;0.0325356426082042;0.15350762514919
"bridge_N1_LRP457A_LRP457B";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535424e-05;0.00290313967130806;0.00282887177487109;0.0128955765380799
"N1_LRP457B_LRP457C";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535424e-05;0.0274698063379742;0.027395538441537;0.129177798760299
"bridge_N1_LRP457C_LRP457D";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535424e-05;0.000929181337974187;0.000854913441537061;0.00355217376029889
"N1_LRP457D_LRP458B";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535424e-05;0.0248291813379747;0.0247549134415378;0.116678840426969
"bridge_N1_LRP458B_LRP458C";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535424e-05;0.00240991050464153;0.0023356426082044;0.0105609584825244
"N1_LRP458C_LRP459A";1;6.0;0.000145422535189788;0.000115715376614937;7.39336980535426e-05;0.0452713688379741;0.0451971009415369;0.212532096194547
"bridge_N1_LRP459A_LRP459B";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535426e-05;0.00255001467130755;0.00247574677487043;0.0110660320328457
"N1_LRP459B_LRP460D";1;6.0;0.000145422535189788;0.000115715376614937;7.39336980535428e-05;0.0558666813379749;0.0557924134415377;0.256685584366336
"bridge_N1_LRP460D_LRP460E";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535428e-05;0.00221147300464079;0.00213720510820366;0.00935065419428079
"N1_LRP460E_LRP460G";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535428e-05;0.0141661605046406;0.0140918926082035;0.06434221669428
"bridge_N1_LRP460G_LRP460H";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535428e-05;0.00253699383797434;0.00246272594153707;0.0108480500276145
"N1_LRP460H_LRP461C";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535428e-05;0.0147718896713078;0.0146976217748707;0.0671285708609492
"bridge_N1_LRP461C_LRP461D";0;6.0;0.000145422535189788;0.000115715376614937;7.39336980535428e-05;0.00204376467130733;0.00196949677487005;0.00857919586094617
"N1_LRP461D_LRP461H";1;6.0;0.000145422535189788;0.000115715376614938;7.39336980535428e-05;0.0230599105046414;0.0217046117972058;0.105253466694284
