"id";"road";"chainage";"lrp";"lat";"lon";"gap";"type";"name"
1130;"N1";420.611;"LRP425c";21.1649444;92.1521944;"BE";"Bridge";"Bridge end"
1131;"N1";420.806;"LRP425d";21.16325;92.1522222;"";"Culvert";"Box culvert"
1132;"N1";420.895;"LRP425e";21.1624722;92.1522778;"";"Culvert";"Box Culvert"
1133;"N1";421.131;"LRP425f";21.1604167;92.1525;"";"Culvert";"Box culvert"
1134;"N1";421.239;"LRP426";21.1595;92.1526111;"";"KmPost";"Info.Missing"
1135;"N1";421.26;"LRP426a";21.1593056;92.1526111;"";"Culvert";"Box culvert"
1136;"N1";421.333;"LRP426b";21.1586667;92.1525;"";"Culvert";"Box culvert"
1137;"N1";421.688;"LRP426c";21.1556389;92.1527778;"";"Culvert";"Box culvert"
1138;"N1";421.905;"LRP426d";21.1537778;92.1528611;"";"Culvert";"Box culvert"
1139;"N1";422.117;"LRP426e";21.1521944;92.1535278;"";"Culvert";"Box culvert"
1140;"N1";422.315;"LRP427";21.1507222;92.1545;"";"KmPost";"Info.Missing"
1141;"N1";422.853;"LRP427a";21.147333;92.1574167;"";"Culvert";"Box culvert"
1142;"N1";423.222;"LRP427b";21.1442774;92.1586389;"BS";"Bridge";"Bridge start"
1143;"N1";423.241;"LRP427c";21.1441663;92.1586944;"BE";"Bridge";"Bridge end"
1144;"N1";423.322;"LRP428";21.1435274;92.1589722;"";"KmPost";"Teknaf 38 km"
1145;"N1";423.57;"LRP428a";21.1414997;92.1599167;"BS";"Bridge";"Bridge start"
1146;"N1";423.631;"LRP428b";21.1410552;92.1602222;"BE";"Bridge";"Bridge end"
1147;"N1";424.234;"LRP428c";21.1381108;92.1648611;"";"Culvert";"Box culvert"
1148;"N1";424.35;"LRP429";21.1379719;92.1659167;"";"KmPost";"Info.Missing"
1149;"N1";424.473;"LRP429a";21.137833;92.1671104;"";"Culvert";"Box culvert"
1150;"N1";424.604;"LRP429b";21.1375552;92.1683049;"";"Culvert";"Box culvert"
1151;"N1";424.875;"LRP429c";21.1372219;92.1708882;"";"Culvert";"Box culvert"
1152;"N1";425.075;"LRP429d";21.1371108;92.1727771;"";"Culvert";"Box culvert"
1153;"N1";425.195;"LRP429e";21.1368886;92.173916;"BS";"Bridge";"Bridge start"
1154;"N1";425.225;"LRP429f";21.1367219;92.1741382;"BE";"Bridge";"Bridge end"
1155;"N1";425.353;"LRP430";21.1363886;92.1752493;"";"KmPost";"Info.Missing"
1156;"N1";425.385;"LRP430a";21.1363608;92.1755549;"";"Culvert";"Box culvert"
1157;"N1";425.598;"LRP430b";21.1353886;92.1770827;"";"Culvert";"Box culvert"
1158;"N1";426.092;"LRP430c";21.1333886;92.1806938;"BS";"Bridge";"Bridge start"
1159;"N1";426.109;"LRP430d";21.1333608;92.1808327;"BE";"Bridge";"Bridge end"
1160;"N1";426.285;"LRP430e";21.1329438;92.1824438;"";"Culvert";"Box culvert"
1161;"N1";426.382;"LRP431";21.1326938;92.183333;"";"KmPost";"Info.Missing"
1162;"N1";426.542;"LRP431a";21.1319716;92.1846108;"";"Culvert";"Box culvert"
1163;"N1";426.716;"LRP431b";21.1309716;92.1856941;"";"Culvert";"Box culvert"
1164;"N1";427.382;"LRP432";21.1269438;92.1902219;"";"KmPost";"Km post missing"
1165;"N1";427.394;"LRP432a";21.1268327;92.1902774;"";"Culvert";"Box culvert"
1166;"N1";427.731;"LRP432b";21.1242771;92.1918886;"";"Culvert";"Box culvert"
1167;"N1";427.772;"LRP432c";21.1239993;92.1919997;"";"Culvert";"Box culvert"
1168;"N1";427.906;"LRP432d";21.1229993;92.1926663;"";"Culvert";"Box culvert"
1169;"N1";428.019;"LRP432e";21.122166;92.1931941;"";"Culvert";"Box culvert"
1170;"N1";428.104;"LRP432f";21.1214993;92.1935552;"";"Culvert";"Box culvert"
1171;"N1";428.387;"LRP433";21.1198604;92.1954719;"";"KmPost";"Info.Missing"
1172;"N1";428.498;"LRP433a";21.1190827;92.1960274;"";"Culvert";"Box culvert"
1173;"N1";428.691;"LRP433b";21.1175827;92.1966663;"";"Culvert";"Box culvert"
1174;"N1";428.818;"LRP433c";21.1165;92.1969163;"";"Culvert";"Box culvert"
1175;"N1";428.869;"LRP433d";21.1161389;92.1969997;"";"Culvert";"Box culvert"
1176;"N1";428.908;"LRP433e";21.1158333;92.1971386;"";"SideRoad,Right";"Z1133 Road to Shaplapur"
1177;"N1";428.995;"LRP433f";21.1151667;92.1975552;"BS";"Bridge";"Bridge start"
1178;"N1";429.073;"LRP433g";21.1146111;92.1979719;"BE";"Bridge";"Bridge end"
1179;"N1";429.45;"LRP434";21.1121111;92.2002778;"";"KmPost";"Info.Missing"
1180;"N1";429.497;"LRP434a";21.1118611;92.2006389;"";"Culvert";"Box culvert"
1181;"N1";429.812;"LRP434b";21.1090556;92.2045278;"";"Culvert";"Box culvert"
1182;"N1";430.242;"LRP434c";21.1078333;92.2058611;"";"Culvert";"Box culvert"
1183;"N1";430.44;"LRP434d";21.1078333;92.2069444;"";"Culvert";"Box culvert"
1184;"N1";430.51;"LRP435";21.1058333;92.20725;"";"KmPost";"Km post broken"
1185;"N1";430.574;"LRP435a";21.1053611;92.2073889;"";"Culvert";"Box culvert"
1186;"N1";430.694;"LRP435b";21.1043611;92.2075278;"";"Culvert";"Box culvert"
1187;"N1";430.901;"LRP435c";21.1026389;92.2077778;"";"Culvert";"Box culvert"
1188;"N1";431.073;"LRP435d";21.1012778;92.2081389;"";"Culvert";"Box culvert"
1189;"N1";431.293;"LRP435e";21.0996386;92.2091667;"";"Culvert";"Box culvert"
1190;"N1";431.578;"LRP436";21.0975552;92.2105;"";"KmPost";"Info.Missing"
1191;"N1";431.606;"LRP436a";21.097333;92.2106111;"";"Culvert";"Box culvert"
1192;"N1";432.005;"LRP436b";21.0939441;92.2118611;"BS";"Bridge";"Bridge start"
1193;"N1";432.041;"LRP436c";21.0936663;92.2119444;"BE";"Bridge";"Bridge end"
1194;"N1";432.199;"LRP436d";21.0923052;92.2123333;"";"Culvert";"Box culvert"
1195;"N1";432.434;"LRP436e";21.090333;92.2129444;"";"Culvert";"Box culvert"
1196;"N1";432.578;"LRP437";21.0891941;92.2135;"";"KmPost";"Km post missing"
1197;"N1";432.924;"LRP437a";21.0864997;92.2151111;"";"Culvert";"Box culvert"
1198;"N1";432.992;"LRP437b";21.0859441;92.2153889;"";"Culvert";"Box culvert"
1199;"N1";433.245;"LRP437c";21.0838608;92.2161111;"";"Culvert / Culvert";"Box culvert / Box culvert"
1200;"N1";433.578;"LRP438";21.0811104;92.2169438;"";"KmPost";"Km post missing"
1201;"N1";433.683;"LRP438a";21.0803049;92.2174993;"";"Culvert";"Box culvert"
1202;"N1";433.944;"LRP438b";21.0783327;92.2186382;"";"Culvert";"Box culvert"
1203;"N1";434.003;"LRP438c";21.077916;92.2189993;"";"Culvert";"Box culvert"
1204;"N1";434.263;"LRP438d";21.0765549;92.2209993;"";"Culvert";"Box culvert"
1205;"N1";434.522;"LRP438e";21.0745271;92.2220549;"";"Culvert";"Box culvert"
