road,km,type,lrp,name,length,category,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
N1,386.494,Slab Culvert,LRP383a,CHALATOLI,1.6,A,101048,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,386.494,10.3,1952,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.40414992,92.0618387,interpolate
N1,386.968,Box Culvert,LRP383b,CHALIYATOLI,3.6,A,100977,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,386.968,11.5,1992,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.40200937,92.06474063,interpolate
N1,387.23,Steel Beam & RCC Slab,LRP383c,RAKALAN PARA STEEL BEAM AND RCC SLAB,8,C,101043,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,387.23,4.1,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.4001879,92.06608292,interpolate
N1,387.398,Arch Masonry,LRP383d,CHALIYA TOLI -2 ARCH MASONRY,1.3,C,101045,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,387.398,9.1,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3987859,92.06652655,interpolate
N1,387.843,Box Culvert,LRP384a,PANCHORI,8.3,A,101032,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,387.843,11.5,1996,2,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.39501442,92.06758841,interpolate
N1,388.328,Steel Beam & RCC Slab,LRP384b,PANCHORA STEEL BEAM AND RCC SLAB,22,C,101030,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,388.328,4.1,1954,3,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.39085551,92.0684757,interpolate
N1,388.565,Slab Culvert,LRP385a,PANAR CHORH -3 SLAB CULVERT,2.7,C,101028,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,388.565,4.1,1952,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3888052,92.0689623,interpolate
N1,388.733,Slab Culvert,LRP385b,PANCHARA SLAB CULVERT,2.7,B,101025,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,388.733,4.1,1973,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.38745385,92.06971629,interpolate
N1,388.886,Slab Culvert,LRP385c,PANCHARA SLAB CULVERT,2.9,C,101023,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,388.886,4,1952,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.3862186,92.07028849,interpolate
N1,388.956,Slab Culvert,LRP385d,PANCHARA SLAB CULVERT,1.8,C,101013,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,388.956,7.5,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.38564113,92.07045432,interpolate
N1,389.101,Slab Culvert,LRP385e,PANAR CHORA SLAB CULVERT,2.8,B,101018,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,389.101,4.1,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.38440646,92.07052234,interpolate
N1,389.258,Slab Culvert,LRP385f,PANCHORI SLAB CULVERT,1.8,B,101019,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,389.258,7.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.38310508,92.07088092,interpolate
N1,389.282,Slab Culvert,LRP385g,PANCHARA SLAB CULVERT,1.7,A,101007,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,389.282,7.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.38290767,92.07095108,interpolate
N1,389.538,Slab Culvert,LRP386a,PANCHORI,0.8,A,112555,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,389.538,7.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.38084224,92.07099827,interpolate
N1,389.684,Slab Culvert,LRP386b,DALA -2 SLAB CULVERT,1.5,B,101003,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,389.684,7.2,1951,1,Chittagong,Chittagong,Cox's Bazar,Cox's Bazar-1,21.37961878,92.07061304,interpolate
