"BridgeName";"IsBridgeBroken";"SimulationTime"
"N1_LRP422C";0;0.0
"N1_LRP424D";0;0.0
"N1_LRP425C";0;0.0
"N1_LRP427C";0;0.0
"N1_LRP428B";0;0.0
"N1_LRP429F";0;0.0
"N1_LRP430D";0;0.0
"N1_LRP433G";0;0.0
"N1_LRP436C";0;0.0
"N1_LRP440E";0;0.0
"N1_LRP441C";0;0.0
"N1_LRP443C";0;0.0
"N1_LRP445B";0;0.0
"N1_LRP448B";0;0.0
"N1_LRP450B";0;0.0
"N1_LRP452B";0;0.0
"N1_LRP452E";0;0.0
"N1_LRP454C";0;0.0
"N1_LRP455C";0;0.0
"N1_LRP456F";0;0.0
"N1_LRP457B";0;0.0
"N1_LRP457D";0;0.0
"N1_LRP458C";0;0.0
"N1_LRP459B";0;0.0
"N1_LRP460E";0;0.0
"N1_LRP460H";0;0.0
"N1_LRP461D";0;0.0
"N1_LRP461I";0;0.0
"N1_LRP462B";0;0.0
"N1_LRP463B";0;0.0
"N1_LRP465B";0;0.0
"N1_LRP466C";0;0.0
"N1_LRP008A";0;1.0
"N1_LRP012A";0;1.0
"N1_LRP016B";0;1.0
"N1_LRP017A";0;1.0
"N1_LRP017C";0;1.0
"N1_LRP018A";0;1.0
"N1_LRP020B";0;1.0
"N1_LRP022A";0;1.0
"N1_LRP022C";0;1.0
"N1_LRP028A";0;1.0
"N1_LRP029A";0;1.0
"N1_LRP030A";0;1.0
"N1_LRP030C";0;1.0
"N1_LRP031B";0;1.0
"N1_LRP033A";0;1.0
"N1_LRP035A";0;1.0
"N1_LRP038D";0;1.0
"N1_LRP042A";0;1.0
"N1_LRP048A";0;1.0
"N1_LRP050A";0;1.0
"N1_LRP056A";0;1.0
"N1_LRP072A";0;1.0
"N1_LRP089A";0;1.0
"N1_LRP093A";0;1.0
"N1_LRP095A";0;1.0
"N1_LRP099A";0;1.0
"N1_LRP102A";0;1.0
"N1_LRP105A";0;1.0
"N1_LRP108A";0;1.0
"N1_LRP110A";0;1.0
"N1_LRP111A";0;1.0
"N1_LRP113A";0;1.0
"N1_LRP119B";0;1.0
"N1_LRP126A";0;1.0
"N1_LRP128A";0;1.0
"N1_LRP139B";0;1.0
"N1_LRP151A";0;1.0
"N1_LRP156A";0;1.0
"N1_LRP163A";0;1.0
"N1_LRP168A";0;1.0
"N1_LRP176A";0;1.0
"N1_LRP187A";0;1.0
"N1_LRP204C";0;1.0
"N1_LRP209A";0;1.0
"N1_LRP210A";0;1.0
"N1_LRP211B";0;1.0
