road,linkNo,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
Z2012,Z2012-1,Sharighat-Gowainghat,LRPS,0.0,0.0,LRP016,30.0,16.25,16.25,0.0,23.0,25.0,0.0,6.0,143.0,6.0,14.0,126.0,55.0,48.0,79.0,0.0,398.0,127.0,525.0
Z2013,Z2013-1,Telikhal-Balaganj,LRPS,0.0,0.0,LRP024,575.0,25.045,25.045,0.0,115.0,59.0,0.0,6.0,188.0,4.0,69.0,4235.0,1028.0,249.0,225.0,0.0,5704.0,474.0,6178.0
Z2014,Z2014-1,Seola-Sutarkandi,LRPS,0.0,0.0,LRP004,690.0,4.095,4.095,1.0,108.0,61.0,0.0,187.0,593.0,221.0,371.0,1253.0,443.0,24.0,53.0,0.0,3238.0,77.0,3315.0
Z2016,Z2016-1,Rashidpur-Lama Kazi,LRPS,0.0,0.0,LRP017,865.0,16.96,16.96,0.0,69.0,55.0,0.0,100.0,211.0,158.0,200.0,2393.0,947.0,303.0,1067.0,0.0,4133.0,1370.0,5503.0
Z2020,Z2020-1,"Fenchuganj, Ferryghat more-Palbari",LRPS,0.0,0.0,LRP003,6897.0,9.742,9.742,1.0,186.0,25.0,0.0,101.0,71.0,39.0,24.0,595.0,174.0,92.0,77.0,28.0,1216.0,197.0,1413.0
Z2031,Z2031-1,Nabinagar-Ashuganj,LRPS,0.0,0.0,LRPE,0.0,21.0,21.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2032,Z2032-1,Dulalkandi-Narayanpur,LRPS,0.0,0.0,LRPS,5705.0,5.705,5.705,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,280.0,128.0,118.0,130.0,0.0,423.0,248.0,671.0
Z2034,Z2034-1,Lakpur-Katiadi,LRPS,0.0,0.0,LRP022,1020.0,22.62,22.62,0.0,7.0,39.0,0.0,1.0,8.0,0.0,17.0,532.0,371.0,494.0,306.0,2.0,975.0,802.0,1777.0
Z2035,Z2035-1,Shibpur-Belabo,LRPS,0.0,0.0,LRPS,15603.0,15.603,15.603,0.0,7.0,39.0,0.0,1.0,8.0,0.0,17.0,532.0,371.0,494.0,306.0,2.0,975.0,802.0,1777.0
Z2036,Z2036-1,Shibpur-Palas (Taltali),LRPS,0.0,0.0,LRP007,7223.0,14.099,14.099,0.0,0.0,97.0,0.0,0.0,28.0,8.0,52.0,1742.0,1298.0,1637.0,1150.0,14.0,3225.0,2801.0,6026.0
Z2037,Z2037-1,Gorashal Tan station - Palas (int.with Z2039),LRPS,0.0,0.0,LRPS,5081.0,5.081,5.081,0.0,205.0,111.0,1.0,172.0,114.0,30.0,96.0,1128.0,557.0,511.0,215.0,0.0,2414.0,726.0,3140.0
Z2037,Z2037-2,Palas (int.with Z2039) - Charsindur Road,LRPS,5081.0,5.081,LRPE,0.0,12.105,7.024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2038,Z2038-1,Jihastala-Shakerchar,LRPS,0.0,0.0,LRPS,4396.0,4.396,4.396,0.0,22.0,56.0,0.0,0.0,4.0,5.0,3.0,227.0,147.0,134.0,171.0,4.0,464.0,309.0,773.0
Z2039,Z2039-1,Palas-Int.with Z2037,LRPS,0.0,0.0,LRP004,917.0,4.392,4.392,0.0,123.0,37.0,0.0,149.0,64.0,11.0,86.0,1679.0,1171.0,757.0,972.0,0.0,3320.0,1729.0,5049.0
Z2039,Z2039-2,Int.with Z2037-Ghorasal,LRP004,917.0,4.392,LRPE,0.0,12.156,7.764,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2041,Z2041-1,Jongi Shibpur-Raipura,LRPS,0.0,0.0,LRP007,1179.0,8.32,8.32,0.0,131.0,104.0,2.0,4.0,53.0,2.0,40.0,3037.0,433.0,449.0,929.0,0.0,3806.0,1378.0,5184.0
Z2042,Z2042-1,Morgal-Belabo,LRPS,0.0,0.0,LRP008,664.0,8.648,8.648,0.0,144.0,133.0,16.0,28.0,43.0,19.0,82.0,902.0,624.0,500.0,519.0,8.0,1991.0,1027.0,3018.0
Z2044,Z2044-1,Shibpur-Dulalpur (int.with Z2045),LRPS,0.0,0.0,LRP007,303.0,6.351,6.351,1.0,193.0,158.0,1.0,6.0,45.0,15.0,44.0,1127.0,370.0,346.0,151.0,7.0,1960.0,504.0,2464.0
Z2044,Z2044-2,Dulalpur (int.with Z2045)-Hatirdia,LRP007,303.0,6.351,LRPE,0.0,25.067,18.716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2045,Z2045-1,Asmandirchar-Taltali (int.with Z2039),LRPS,0.0,0.0,LRP005,2560.0,7.538,7.538,1.0,205.0,163.0,5.0,2.0,77.0,19.0,55.0,1092.0,293.0,124.0,120.0,0.0,1912.0,244.0,2156.0
Z2045,Z2045-2,Taltali (int.with Z2039)-int.with R310,LRP005,2560.0,7.538,LRP014,1000.0,14.899,7.361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Z2045,Z2045-3,int.with R310-Dulalpur (int.with Z2044),LRP014,1000.0,14.899,LRPE,0.0,18.77,3.871,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
