,road,LRPName,chainage,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
22,N1,LRP166c,165.825,8.236009500584262e-05,0.0011442099464004471,0.0003164413770766651,0.00031654060610679266,0.00012889851013565007,0.00023080672407661438,6.350657928161356e-05,0.00020351874079154602,0.0004515913161103491,8.176472082507748e-05,4.207310877406899e-05,5.288907305796881e-05,0.0,0.0028055023687954075,7.471945968602347e-05,0.0028630552062693694
23,N1,LRP172a,171.554,7.362794035462075e-05,0.0007910538281765992,0.00020123647309861303,0.00026504073947060917,0.00010567891708581008,0.0001505304387034497,5.914050195600264e-05,0.00015281270639638266,0.0004515913161103491,6.578884697454657e-05,1.8258141543463904e-05,5.288907305796881e-05,0.0,0.0023165017083269825,7.114721460143272e-05,0.0023876489229284156
24,N1,LRP174c,173.585,7.362794035462075e-05,0.0007910538281765992,0.00020123647309861303,0.00026504073947060917,0.00010567891708581008,0.0001505304387034497,5.914050195600264e-05,0.00015281270639638266,0.0004515913161103491,6.578884697454657e-05,1.8258141543463904e-05,5.288907305796881e-05,0.0,0.0023165017083269825,7.114721460143272e-05,0.0023876489229284156
25,N1,LRP181a,179.363,7.362794035462075e-05,0.0007910538281765992,0.00020123647309861303,0.00026504073947060917,0.00010567891708581008,0.0001505304387034497,5.914050195600264e-05,0.00015281270639638266,0.0004515913161103491,6.578884697454657e-05,1.8258141543463904e-05,5.288907305796881e-05,0.0,0.0023165017083269825,7.114721460143272e-05,0.0023876489229284156
26,N1,LRP187a,185.058,7.362794035462075e-05,0.0007910538281765992,0.00020123647309861303,0.00026504073947060917,0.00010567891708581008,0.0001505304387034497,5.914050195600264e-05,0.00015281270639638266,0.0004515913161103491,6.578884697454657e-05,1.8258141543463904e-05,5.288907305796881e-05,0.0,0.0023165017083269825,7.114721460143272e-05,0.0023876489229284156
27,N1,LRP193a,191.107,7.362794035462075e-05,0.0007910538281765992,0.00020123647309861303,0.00026504073947060917,0.00010567891708581008,0.0001505304387034497,5.914050195600264e-05,0.00015281270639638266,0.0004515913161103491,6.578884697454657e-05,1.8258141543463904e-05,5.288907305796881e-05,0.0,0.0023165017083269825,7.114721460143272e-05,0.0023876489229284156
28,N1,LRP198a,196.038,0.0002186015533709292,0.0010368441358024692,0.00024370649799319207,0.00031227375781130927,0.00012056327160493828,0.00017107084793984654,5.914050195600264e-05,0.00015936182238479907,0.0005555833396839912,8.593234009043338e-05,2.0044264085759286e-05,6.330812122135854e-05,0.0,0.0029512698140527357,8.335238530711779e-05,0.003034622199359854
29,N1,LRP202a,200.277,0.0002186015533709292,0.0010368441358024692,0.00024370649799319207,0.00031227375781130927,0.00012056327160493828,0.00017107084793984654,4.733224737082762e-05,0.00015936182238479907,0.0005555833396839912,8.593234009043338e-05,2.0044264085759286e-05,6.330812122135854e-05,0.0,0.0029512698140527357,8.335238530711779e-05,0.003034622199359854
30,N1,LRP206a,203.457,0.0002186015533709292,0.0010368441358024692,0.00024370649799319207,0.00031227375781130927,0.00012056327160493828,0.00017107084793984654,4.733224737082762e-05,0.00015936182238479907,0.0005555833396839912,8.593234009043338e-05,2.0044264085759286e-05,6.330812122135854e-05,0.0,0.0029512698140527357,8.335238530711779e-05,0.003034622199359854
31,N1,LRP209a,206.866,0.0002186015533709292,0.0010368441358024692,0.00024370649799319207,0.00031227375781130927,0.00012056327160493828,0.00017107084793984654,4.733224737082762e-05,0.00015936182238479907,0.0005555833396839912,8.593234009043338e-05,2.0044264085759286e-05,6.330812122135854e-05,0.0,0.0029512698140527357,8.335238530711779e-05,0.003034622199359854
32,N1,LRP213a,210.476,0.0002186015533709292,0.0010368441358024692,0.00024370649799319207,0.00031227375781130927,0.00012056327160493828,0.00017107084793984654,4.733224737082762e-05,0.00015936182238479907,0.0005555833396839912,8.593234009043338e-05,2.0044264085759286e-05,6.330812122135854e-05,0.0,0.0029512698140527357,8.335238530711779e-05,0.003034622199359854
33,N1,LRP218a,215.467,0.0002186015533709292,0.0010368441358024692,0.00024370649799319207,0.00031227375781130927,0.00012056327160493828,0.00017107084793984654,4.733224737082762e-05,0.00015936182238479907,0.0005555833396839912,8.593234009043338e-05,2.0044264085759286e-05,6.330812122135854e-05,0.0,0.0029512698140527357,8.335238530711779e-05,0.003034622199359854
34,N1,LRP223a,220.725,0.0002186015533709292,0.0010368441358024692,0.00024370649799319207,0.00031227375781130927,0.00012056327160493828,0.00017107084793984654,4.733224737082762e-05,0.00015936182238479907,0.0005555833396839912,8.593234009043338e-05,2.0044264085759286e-05,6.330812122135854e-05,0.0,0.0029512698140527357,8.335238530711779e-05,0.003034622199359854
35,N1,LRP230a,228.029,0.0002186015533709292,0.0010368441358024692,0.00024370649799319207,0.00031227375781130927,0.00012056327160493828,0.00017107084793984654,4.733224737082762e-05,0.00015936182238479907,0.0005555833396839912,8.593234009043338e-05,2.0044264085759286e-05,6.330812122135854e-05,0.0,0.0029512698140527357,8.335238530711779e-05,0.003034622199359854
36,N1,LRP236a,242.016,0.041015625,2.158203125,1.578125,1.75390625,1.212890625,1.927734375,0.37890625,1.35546875,5.84765625,1.134765625,0.431640625,0.83203125,0.0,17.388671875,1.263671875,18.65234375
37,N1,LRP242b,247.637,0.041015625,2.158203125,1.578125,1.75390625,1.212890625,1.927734375,0.37890625,1.35546875,5.84765625,1.134765625,0.431640625,0.83203125,0.0,17.388671875,1.263671875,18.65234375
38,N1,LRP245b,250.519,0.041015625,2.158203125,1.578125,1.75390625,1.212890625,1.927734375,0.37890625,1.35546875,5.84765625,1.134765625,0.431640625,0.83203125,0.0,17.388671875,1.263671875,18.65234375
